cluster_label,img_path
0,./LC25000/lung_aca/lungaca1352.jpeg
0,./LC25000/lung_aca/lungaca1772.jpeg
0,./LC25000/lung_aca/lungaca1829.jpeg
0,./LC25000/lung_aca/lungaca2191.jpeg
0,./LC25000/lung_aca/lungaca2495.jpeg
0,./LC25000/lung_aca/lungaca266.jpeg
0,./LC25000/lung_aca/lungaca2684.jpeg
0,./LC25000/lung_aca/lungaca2685.jpeg
0,./LC25000/lung_aca/lungaca3152.jpeg
0,./LC25000/lung_aca/lungaca3153.jpeg
0,./LC25000/lung_aca/lungaca3154.jpeg
0,./LC25000/lung_aca/lungaca3155.jpeg
0,./LC25000/lung_aca/lungaca335.jpeg
0,./LC25000/lung_aca/lungaca3695.jpeg
0,./LC25000/lung_aca/lungaca4056.jpeg
0,./LC25000/lung_aca/lungaca631.jpeg
0,./LC25000/lung_aca/lungaca85.jpeg
0,./LC25000/lung_aca/lungaca856.jpeg
0,./LC25000/lung_aca/lungaca915.jpeg
1,./LC25000/lung_aca/lungaca1498.jpeg
1,./LC25000/lung_aca/lungaca180.jpeg
1,./LC25000/lung_aca/lungaca2276.jpeg
1,./LC25000/lung_aca/lungaca2641.jpeg
1,./LC25000/lung_aca/lungaca2759.jpeg
1,./LC25000/lung_aca/lungaca2886.jpeg
1,./LC25000/lung_aca/lungaca291.jpeg
1,./LC25000/lung_aca/lungaca3010.jpeg
1,./LC25000/lung_aca/lungaca3484.jpeg
1,./LC25000/lung_aca/lungaca3545.jpeg
1,./LC25000/lung_aca/lungaca3599.jpeg
1,./LC25000/lung_aca/lungaca3960.jpeg
1,./LC25000/lung_aca/lungaca3961.jpeg
1,./LC25000/lung_aca/lungaca4620.jpeg
1,./LC25000/lung_aca/lungaca4621.jpeg
1,./LC25000/lung_aca/lungaca4798.jpeg
1,./LC25000/lung_aca/lungaca4913.jpeg
1,./LC25000/lung_aca/lungaca773.jpeg
2,./LC25000/lung_aca/lungaca1028.jpeg
2,./LC25000/lung_aca/lungaca1029.jpeg
2,./LC25000/lung_aca/lungaca1831.jpeg
2,./LC25000/lung_aca/lungaca2018.jpeg
2,./LC25000/lung_aca/lungaca2556.jpeg
2,./LC25000/lung_aca/lungaca2557.jpeg
2,./LC25000/lung_aca/lungaca2739.jpeg
2,./LC25000/lung_aca/lungaca2860.jpeg
2,./LC25000/lung_aca/lungaca3696.jpeg
2,./LC25000/lung_aca/lungaca3759.jpeg
2,./LC25000/lung_aca/lungaca3880.jpeg
2,./LC25000/lung_aca/lungaca4058.jpeg
2,./LC25000/lung_aca/lungaca4181.jpeg
2,./LC25000/lung_aca/lungaca4182.jpeg
2,./LC25000/lung_aca/lungaca4595.jpeg
2,./LC25000/lung_aca/lungaca4596.jpeg
2,./LC25000/lung_aca/lungaca4946.jpeg
2,./LC25000/lung_aca/lungaca86.jpeg
2,./LC25000/lung_aca/lungaca971.jpeg
3,./LC25000/lung_aca/lungaca1298.jpeg
3,./LC25000/lung_aca/lungaca1534.jpeg
3,./LC25000/lung_aca/lungaca1832.jpeg
3,./LC25000/lung_aca/lungaca2019.jpeg
3,./LC25000/lung_aca/lungaca2252.jpeg
3,./LC25000/lung_aca/lungaca2314.jpeg
3,./LC25000/lung_aca/lungaca2441.jpeg
3,./LC25000/lung_aca/lungaca2920.jpeg
3,./LC25000/lung_aca/lungaca3156.jpeg
3,./LC25000/lung_aca/lungaca3332.jpeg
3,./LC25000/lung_aca/lungaca336.jpeg
3,./LC25000/lung_aca/lungaca3578.jpeg
3,./LC25000/lung_aca/lungaca3697.jpeg
3,./LC25000/lung_aca/lungaca399.jpeg
3,./LC25000/lung_aca/lungaca4115.jpeg
3,./LC25000/lung_aca/lungaca4184.jpeg
3,./LC25000/lung_aca/lungaca4419.jpeg
3,./LC25000/lung_aca/lungaca4478.jpeg
3,./LC25000/lung_aca/lungaca4538.jpeg
3,./LC25000/lung_aca/lungaca4654.jpeg
3,./LC25000/lung_aca/lungaca633.jpeg
4,./LC25000/lung_aca/lungaca1038.jpeg
4,./LC25000/lung_aca/lungaca1189.jpeg
4,./LC25000/lung_aca/lungaca1252.jpeg
4,./LC25000/lung_aca/lungaca1307.jpeg
4,./LC25000/lung_aca/lungaca1903.jpeg
4,./LC25000/lung_aca/lungaca2204.jpeg
4,./LC25000/lung_aca/lungaca2263.jpeg
4,./LC25000/lung_aca/lungaca2391.jpeg
4,./LC25000/lung_aca/lungaca2811.jpeg
4,./LC25000/lung_aca/lungaca3103.jpeg
4,./LC25000/lung_aca/lungaca3169.jpeg
4,./LC25000/lung_aca/lungaca3232.jpeg
4,./LC25000/lung_aca/lungaca3474.jpeg
4,./LC25000/lung_aca/lungaca4009.jpeg
4,./LC25000/lung_aca/lungaca4068.jpeg
4,./LC25000/lung_aca/lungaca410.jpeg
4,./LC25000/lung_aca/lungaca4301.jpeg
4,./LC25000/lung_aca/lungaca4791.jpeg
4,./LC25000/lung_aca/lungaca523.jpeg
4,./LC25000/lung_aca/lungaca703.jpeg
4,./LC25000/lung_aca/lungaca755.jpeg
4,./LC25000/lung_aca/lungaca926.jpeg
5,./LC25000/lung_aca/lungaca1297.jpeg
5,./LC25000/lung_aca/lungaca1354.jpeg
5,./LC25000/lung_aca/lungaca149.jpeg
5,./LC25000/lung_aca/lungaca2084.jpeg
5,./LC25000/lung_aca/lungaca2377.jpeg
5,./LC25000/lung_aca/lungaca2558.jpeg
5,./LC25000/lung_aca/lungaca267.jpeg
5,./LC25000/lung_aca/lungaca2861.jpeg
5,./LC25000/lung_aca/lungaca3275.jpeg
5,./LC25000/lung_aca/lungaca4238.jpeg
5,./LC25000/lung_aca/lungaca4357.jpeg
5,./LC25000/lung_aca/lungaca4536.jpeg
5,./LC25000/lung_aca/lungaca4537.jpeg
5,./LC25000/lung_aca/lungaca4653.jpeg
5,./LC25000/lung_aca/lungaca4717.jpeg
5,./LC25000/lung_aca/lungaca513.jpeg
5,./LC25000/lung_aca/lungaca514.jpeg
5,./LC25000/lung_aca/lungaca87.jpeg
5,./LC25000/lung_aca/lungaca88.jpeg
6,./LC25000/lung_aca/lungaca1153.jpeg
6,./LC25000/lung_aca/lungaca1154.jpeg
6,./LC25000/lung_aca/lungaca1445.jpeg
6,./LC25000/lung_aca/lungaca1499.jpeg
6,./LC25000/lung_aca/lungaca1623.jpeg
6,./LC25000/lung_aca/lungaca1624.jpeg
6,./LC25000/lung_aca/lungaca1625.jpeg
6,./LC25000/lung_aca/lungaca1923.jpeg
6,./LC25000/lung_aca/lungaca2283.jpeg
6,./LC25000/lung_aca/lungaca2469.jpeg
6,./LC25000/lung_aca/lungaca2521.jpeg
6,./LC25000/lung_aca/lungaca2828.jpeg
6,./LC25000/lung_aca/lungaca3361.jpeg
6,./LC25000/lung_aca/lungaca3724.jpeg
6,./LC25000/lung_aca/lungaca3908.jpeg
6,./LC25000/lung_aca/lungaca4026.jpeg
6,./LC25000/lung_aca/lungaca4088.jpeg
6,./LC25000/lung_aca/lungaca4625.jpeg
6,./LC25000/lung_aca/lungaca536.jpeg
6,./LC25000/lung_aca/lungaca58.jpeg
6,./LC25000/lung_aca/lungaca881.jpeg
6,./LC25000/lung_aca/lungaca944.jpeg
6,./LC25000/lung_aca/lungaca945.jpeg
7,./LC25000/lung_aca/lungaca1133.jpeg
7,./LC25000/lung_aca/lungaca1187.jpeg
7,./LC25000/lung_aca/lungaca164.jpeg
7,./LC25000/lung_aca/lungaca1902.jpeg
7,./LC25000/lung_aca/lungaca219.jpeg
7,./LC25000/lung_aca/lungaca2262.jpeg
7,./LC25000/lung_aca/lungaca2385.jpeg
7,./LC25000/lung_aca/lungaca2386.jpeg
7,./LC25000/lung_aca/lungaca2447.jpeg
7,./LC25000/lung_aca/lungaca2627.jpeg
7,./LC25000/lung_aca/lungaca276.jpeg
7,./LC25000/lung_aca/lungaca2869.jpeg
7,./LC25000/lung_aca/lungaca3165.jpeg
7,./LC25000/lung_aca/lungaca3166.jpeg
7,./LC25000/lung_aca/lungaca3342.jpeg
7,./LC25000/lung_aca/lungaca3343.jpeg
7,./LC25000/lung_aca/lungaca3401.jpeg
7,./LC25000/lung_aca/lungaca3593.jpeg
7,./LC25000/lung_aca/lungaca3705.jpeg
7,./LC25000/lung_aca/lungaca4067.jpeg
7,./LC25000/lung_aca/lungaca4605.jpeg
7,./LC25000/lung_aca/lungaca4901.jpeg
8,./LC25000/lung_aca/lungaca109.jpeg
8,./LC25000/lung_aca/lungaca1138.jpeg
8,./LC25000/lung_aca/lungaca1730.jpeg
8,./LC25000/lung_aca/lungaca2097.jpeg
8,./LC25000/lung_aca/lungaca224.jpeg
8,./LC25000/lung_aca/lungaca2878.jpeg
8,./LC25000/lung_aca/lungaca3001.jpeg
8,./LC25000/lung_aca/lungaca3235.jpeg
8,./LC25000/lung_aca/lungaca3236.jpeg
8,./LC25000/lung_aca/lungaca3776.jpeg
8,./LC25000/lung_aca/lungaca4014.jpeg
8,./LC25000/lung_aca/lungaca415.jpeg
8,./LC25000/lung_aca/lungaca4257.jpeg
8,./LC25000/lung_aca/lungaca4491.jpeg
8,./LC25000/lung_aca/lungaca4674.jpeg
8,./LC25000/lung_aca/lungaca529.jpeg
8,./LC25000/lung_aca/lungaca653.jpeg
8,./LC25000/lung_aca/lungaca817.jpeg
8,./LC25000/lung_aca/lungaca930.jpeg
9,./LC25000/lung_aca/lungaca1213.jpeg
9,./LC25000/lung_aca/lungaca1570.jpeg
9,./LC25000/lung_aca/lungaca1853.jpeg
9,./LC25000/lung_aca/lungaca20.jpeg
9,./LC25000/lung_aca/lungaca2043.jpeg
9,./LC25000/lung_aca/lungaca2221.jpeg
9,./LC25000/lung_aca/lungaca2893.jpeg
9,./LC25000/lung_aca/lungaca293.jpeg
9,./LC25000/lung_aca/lungaca3011.jpeg
9,./LC25000/lung_aca/lungaca3665.jpeg
9,./LC25000/lung_aca/lungaca3723.jpeg
9,./LC25000/lung_aca/lungaca3786.jpeg
9,./LC25000/lung_aca/lungaca3907.jpeg
9,./LC25000/lung_aca/lungaca4024.jpeg
9,./LC25000/lung_aca/lungaca4918.jpeg
9,./LC25000/lung_aca/lungaca534.jpeg
9,./LC25000/lung_aca/lungaca830.jpeg
9,./LC25000/lung_aca/lungaca943.jpeg
10,./LC25000/lung_aca/lungaca1218.jpeg
10,./LC25000/lung_aca/lungaca1219.jpeg
10,./LC25000/lung_aca/lungaca1326.jpeg
10,./LC25000/lung_aca/lungaca1327.jpeg
10,./LC25000/lung_aca/lungaca1578.jpeg
10,./LC25000/lung_aca/lungaca1633.jpeg
10,./LC25000/lung_aca/lungaca192.jpeg
10,./LC25000/lung_aca/lungaca2346.jpeg
10,./LC25000/lung_aca/lungaca2474.jpeg
10,./LC25000/lung_aca/lungaca2591.jpeg
10,./LC25000/lung_aca/lungaca2719.jpeg
10,./LC25000/lung_aca/lungaca2769.jpeg
10,./LC25000/lung_aca/lungaca2836.jpeg
10,./LC25000/lung_aca/lungaca3067.jpeg
10,./LC25000/lung_aca/lungaca3499.jpeg
10,./LC25000/lung_aca/lungaca3556.jpeg
10,./LC25000/lung_aca/lungaca3557.jpeg
10,./LC25000/lung_aca/lungaca3612.jpeg
10,./LC25000/lung_aca/lungaca3914.jpeg
10,./LC25000/lung_aca/lungaca4032.jpeg
10,./LC25000/lung_aca/lungaca4270.jpeg
10,./LC25000/lung_aca/lungaca4626.jpeg
10,./LC25000/lung_aca/lungaca4627.jpeg
10,./LC25000/lung_aca/lungaca487.jpeg
10,./LC25000/lung_aca/lungaca64.jpeg
10,./LC25000/lung_aca/lungaca888.jpeg
10,./LC25000/lung_aca/lungaca889.jpeg
11,./LC25000/lung_aca/lungaca108.jpeg
11,./LC25000/lung_aca/lungaca1311.jpeg
11,./LC25000/lung_aca/lungaca1367.jpeg
11,./LC25000/lung_aca/lungaca1432.jpeg
11,./LC25000/lung_aca/lungaca1677.jpeg
11,./LC25000/lung_aca/lungaca1910.jpeg
11,./LC25000/lung_aca/lungaca1971.jpeg
11,./LC25000/lung_aca/lungaca2453.jpeg
11,./LC25000/lung_aca/lungaca2454.jpeg
11,./LC25000/lung_aca/lungaca2575.jpeg
11,./LC25000/lung_aca/lungaca281.jpeg
11,./LC25000/lung_aca/lungaca3173.jpeg
11,./LC25000/lung_aca/lungaca3291.jpeg
11,./LC25000/lung_aca/lungaca3406.jpeg
11,./LC25000/lung_aca/lungaca3649.jpeg
11,./LC25000/lung_aca/lungaca4013.jpeg
11,./LC25000/lung_aca/lungaca4615.jpeg
11,./LC25000/lung_aca/lungaca4672.jpeg
11,./LC25000/lung_aca/lungaca470.jpeg
11,./LC25000/lung_aca/lungaca4852.jpeg
11,./LC25000/lung_aca/lungaca4962.jpeg
11,./LC25000/lung_aca/lungaca527.jpeg
11,./LC25000/lung_aca/lungaca989.jpeg
11,./LC25000/lung_aca/lungaca990.jpeg
12,./LC25000/lung_aca/lungaca1416.jpeg
12,./LC25000/lung_aca/lungaca152.jpeg
12,./LC25000/lung_aca/lungaca2194.jpeg
12,./LC25000/lung_aca/lungaca2379.jpeg
12,./LC25000/lung_aca/lungaca2442.jpeg
12,./LC25000/lung_aca/lungaca2802.jpeg
12,./LC25000/lung_aca/lungaca2862.jpeg
12,./LC25000/lung_aca/lungaca2921.jpeg
12,./LC25000/lung_aca/lungaca3581.jpeg
12,./LC25000/lung_aca/lungaca4003.jpeg
12,./LC25000/lung_aca/lungaca4358.jpeg
12,./LC25000/lung_aca/lungaca4480.jpeg
12,./LC25000/lung_aca/lungaca4539.jpeg
12,./LC25000/lung_aca/lungaca4836.jpeg
12,./LC25000/lung_aca/lungaca4888.jpeg
12,./LC25000/lung_aca/lungaca4947.jpeg
12,./LC25000/lung_aca/lungaca692.jpeg
12,./LC25000/lung_aca/lungaca92.jpeg
12,./LC25000/lung_aca/lungaca93.jpeg
13,./LC25000/lung_aca/lungaca1348.jpeg
13,./LC25000/lung_aca/lungaca1411.jpeg
13,./LC25000/lung_aca/lungaca1767.jpeg
13,./LC25000/lung_aca/lungaca2134.jpeg
13,./LC25000/lung_aca/lungaca2679.jpeg
13,./LC25000/lung_aca/lungaca2797.jpeg
13,./LC25000/lung_aca/lungaca3215.jpeg
13,./LC25000/lung_aca/lungaca326.jpeg
13,./LC25000/lung_aca/lungaca4234.jpeg
13,./LC25000/lung_aca/lungaca4411.jpeg
13,./LC25000/lung_aca/lungaca4412.jpeg
13,./LC25000/lung_aca/lungaca4587.jpeg
13,./LC25000/lung_aca/lungaca4776.jpeg
13,./LC25000/lung_aca/lungaca4832.jpeg
13,./LC25000/lung_aca/lungaca4993.jpeg
13,./LC25000/lung_aca/lungaca851.jpeg
13,./LC25000/lung_aca/lungaca908.jpeg
13,./LC25000/lung_aca/lungaca909.jpeg
14,./LC25000/lung_aca/lungaca1241.jpeg
14,./LC25000/lung_aca/lungaca150.jpeg
14,./LC25000/lung_aca/lungaca151.jpeg
