cluster_label,anchor_img_path,comparison_img_path,user_input
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn3147.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn2802.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn3082.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn1417.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn3892.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn3545.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn2002.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn4126.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn2868.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn2683.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn2230.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn3480.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn680.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn4007.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn3615.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn1247.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn200.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn2453.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn4127.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn1196.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn1765.jpeg,y
0,./LC25000/colon_n/colonn2684.jpeg,./LC25000/colon_n/colonn2231.jpeg,y
1,./LC25000/colon_n/colonn2754.jpeg,./LC25000/colon_n/colonn623.jpeg,y
1,./LC25000/colon_n/colonn2754.jpeg,./LC25000/colon_n/colonn4887.jpeg,y
1,./LC25000/colon_n/colonn2754.jpeg,./LC25000/colon_n/colonn1207.jpeg,y
1,./LC25000/colon_n/colonn2754.jpeg,./LC25000/colon_n/colonn750.jpeg,y
1,./LC25000/colon_n/colonn2754.jpeg,./LC25000/colon_n/colonn4199.jpeg,y
