cluster_label,img_path
0,./LC25000/colon_n/colonn1196.jpeg
0,./LC25000/colon_n/colonn1247.jpeg
0,./LC25000/colon_n/colonn1417.jpeg
0,./LC25000/colon_n/colonn1765.jpeg
0,./LC25000/colon_n/colonn200.jpeg
0,./LC25000/colon_n/colonn2002.jpeg
0,./LC25000/colon_n/colonn2230.jpeg
0,./LC25000/colon_n/colonn2231.jpeg
0,./LC25000/colon_n/colonn2453.jpeg
0,./LC25000/colon_n/colonn2683.jpeg
0,./LC25000/colon_n/colonn2684.jpeg
0,./LC25000/colon_n/colonn2802.jpeg
0,./LC25000/colon_n/colonn2868.jpeg
0,./LC25000/colon_n/colonn3082.jpeg
0,./LC25000/colon_n/colonn3147.jpeg
0,./LC25000/colon_n/colonn3480.jpeg
0,./LC25000/colon_n/colonn3545.jpeg
0,./LC25000/colon_n/colonn3615.jpeg
0,./LC25000/colon_n/colonn3892.jpeg
0,./LC25000/colon_n/colonn4007.jpeg
0,./LC25000/colon_n/colonn4126.jpeg
0,./LC25000/colon_n/colonn4127.jpeg
0,./LC25000/colon_n/colonn680.jpeg
1,./LC25000/colon_n/colonn1207.jpeg
1,./LC25000/colon_n/colonn1543.jpeg
1,./LC25000/colon_n/colonn1651.jpeg
1,./LC25000/colon_n/colonn2754.jpeg
1,./LC25000/colon_n/colonn2876.jpeg
1,./LC25000/colon_n/colonn3047.jpeg
1,./LC25000/colon_n/colonn3224.jpeg
1,./LC25000/colon_n/colonn3622.jpeg
1,./LC25000/colon_n/colonn4199.jpeg
1,./LC25000/colon_n/colonn4372.jpeg
1,./LC25000/colon_n/colonn450.jpeg
1,./LC25000/colon_n/colonn4601.jpeg
1,./LC25000/colon_n/colonn4887.jpeg
1,./LC25000/colon_n/colonn623.jpeg
1,./LC25000/colon_n/colonn748.jpeg
1,./LC25000/colon_n/colonn749.jpeg
1,./LC25000/colon_n/colonn750.jpeg
1,./LC25000/colon_n/colonn923.jpeg
1,./LC25000/colon_n/colonn924.jpeg
2,./LC25000/colon_n/colonn1210.jpeg
2,./LC25000/colon_n/colonn1774.jpeg
2,./LC25000/colon_n/colonn1894.jpeg
2,./LC25000/colon_n/colonn2071.jpeg
2,./LC25000/colon_n/colonn2471.jpeg
2,./LC25000/colon_n/colonn2528.jpeg
2,./LC25000/colon_n/colonn3501.jpeg
2,./LC25000/colon_n/colonn3854.jpeg
2,./LC25000/colon_n/colonn4201.jpeg
2,./LC25000/colon_n/colonn4374.jpeg
2,./LC25000/colon_n/colonn4431.jpeg
2,./LC25000/colon_n/colonn4488.jpeg
2,./LC25000/colon_n/colonn4606.jpeg
2,./LC25000/colon_n/colonn4607.jpeg
2,./LC25000/colon_n/colonn4725.jpeg
2,./LC25000/colon_n/colonn4726.jpeg
