cluster_label,anchor_img_path,comparison_img_path,user_input
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca791.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca69.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca728.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca1256.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca2209.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca790.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca3917.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca3264.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca1972.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca1139.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca2684.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca1078.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca1674.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca1021.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca3622.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca1496.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca3916.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca4910.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca3443.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca2387.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca1547.jpeg,y
0,./LC25000/colon_aca/colonca70.jpeg,./LC25000/colon_aca/colonca962.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca4157.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca4506.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca1207.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca4040.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca3269.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca3158.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca3626.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca1268.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca4282.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca1915.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca3808.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca1738.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca4101.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca2513.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca4621.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca3807.jpeg,y
1,./LC25000/colon_aca/colonca4156.jpeg,./LC25000/colon_aca/colonca1208.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca1278.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca1445.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca975.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca862.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca4871.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca3696.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca4872.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca1093.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca1094.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca1809.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca3339.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca682.jpeg,y
2,./LC25000/colon_aca/colonca3522.jpeg,./LC25000/colon_aca/colonca3165.jpeg,y
