cluster_label,anchor_img_path,comparison_img_path,user_input
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn3397.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn4533.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn4178.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn2684.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn2256.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn3039.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn4998.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn683.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn4352.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn3398.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn2564.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn2143.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn1777.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn380.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn4421.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn1107.jpeg,y
0,./LC25000/lung_n/lungn4480.jpeg,./LC25000/lung_n/lungn439.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn3888.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn4896.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn1828.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn1340.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn248.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn2501.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn1043.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn3396.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn1468.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn4057.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn1220.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn2139.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn2084.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn3644.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn2443.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn730.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn4295.jpeg,y
1,./LC25000/lung_n/lungn1156.jpeg,./LC25000/lung_n/lungn3760.jpeg,y
