cluster_label,img_path
0,./LC25000/lung_n/lungn1107.jpeg
0,./LC25000/lung_n/lungn1777.jpeg
0,./LC25000/lung_n/lungn2143.jpeg
0,./LC25000/lung_n/lungn2256.jpeg
0,./LC25000/lung_n/lungn2564.jpeg
0,./LC25000/lung_n/lungn2684.jpeg
0,./LC25000/lung_n/lungn3039.jpeg
0,./LC25000/lung_n/lungn3397.jpeg
0,./LC25000/lung_n/lungn3398.jpeg
0,./LC25000/lung_n/lungn380.jpeg
0,./LC25000/lung_n/lungn4178.jpeg
0,./LC25000/lung_n/lungn4352.jpeg
0,./LC25000/lung_n/lungn439.jpeg
0,./LC25000/lung_n/lungn4421.jpeg
0,./LC25000/lung_n/lungn4480.jpeg
0,./LC25000/lung_n/lungn4533.jpeg
0,./LC25000/lung_n/lungn4998.jpeg
0,./LC25000/lung_n/lungn683.jpeg
1,./LC25000/lung_n/lungn1043.jpeg
1,./LC25000/lung_n/lungn1156.jpeg
1,./LC25000/lung_n/lungn1220.jpeg
1,./LC25000/lung_n/lungn1340.jpeg
1,./LC25000/lung_n/lungn1468.jpeg
1,./LC25000/lung_n/lungn1828.jpeg
1,./LC25000/lung_n/lungn2084.jpeg
1,./LC25000/lung_n/lungn2139.jpeg
1,./LC25000/lung_n/lungn2443.jpeg
1,./LC25000/lung_n/lungn248.jpeg
1,./LC25000/lung_n/lungn2501.jpeg
1,./LC25000/lung_n/lungn3396.jpeg
1,./LC25000/lung_n/lungn3520.jpeg
1,./LC25000/lung_n/lungn3644.jpeg
1,./LC25000/lung_n/lungn3704.jpeg
1,./LC25000/lung_n/lungn3760.jpeg
1,./LC25000/lung_n/lungn3888.jpeg
1,./LC25000/lung_n/lungn4057.jpeg
1,./LC25000/lung_n/lungn4295.jpeg
1,./LC25000/lung_n/lungn4896.jpeg
1,./LC25000/lung_n/lungn4959.jpeg
1,./LC25000/lung_n/lungn730.jpeg
2,./LC25000/lung_n/lungn1021.jpeg
2,./LC25000/lung_n/lungn1022.jpeg
2,./LC25000/lung_n/lungn1134.jpeg
2,./LC25000/lung_n/lungn1200.jpeg
2,./LC25000/lung_n/lungn1201.jpeg
2,./LC25000/lung_n/lungn1314.jpeg
2,./LC25000/lung_n/lungn168.jpeg
2,./LC25000/lung_n/lungn1684.jpeg
2,./LC25000/lung_n/lungn1685.jpeg
